product_id,category,base_price,brand,popularity
1001,Fashion,1417,StepUp,Low
1002,Fashion,281,ShinyStuff,Medium
1003,Footwear,1468,ShinyStuff,Medium
1004,Accessories,367,ShinyStuff,Low
1005,Accessories,1058,FabTrend,Low
1006,Accessories,1546,FabTrend,Medium
1007,Fashion,1395,ShinyStuff,Medium
1008,Home,1357,Glowify,Low
1009,Fashion,1270,DecorNest,High
1010,Home,847,FabTrend,High
1011,Beauty,734,Glowify,High
1012,Fashion,618,Glowify,Low
1013,Fashion,1571,DecorNest,Low
1014,Fashion,1666,ShinyStuff,Low
1015,Accessories,843,Glowify,High
1016,Accessories,688,Glowify,Medium
1017,Home,743,Glowify,Low
1018,Home,1010,ShinyStuff,Low
1019,Fashion,468,ShinyStuff,Low
1020,Home,1575,FabTrend,High
1021,Accessories,1521,FabTrend,Medium
1022,Home,814,Glowify,High
1023,Beauty,1136,ShinyStuff,High
1024,Accessories,847,ShinyStuff,High
1025,Beauty,1739,DecorNest,Low
1026,Home,348,Glowify,High
1027,Footwear,219,FabTrend,Medium
1028,Fashion,1138,DecorNest,Medium
1029,Accessories,1472,ShinyStuff,Medium
1030,Beauty,1353,FabTrend,Medium
1031,Footwear,404,Glowify,High
1032,Footwear,350,ShinyStuff,Medium
1033,Accessories,1301,Glowify,Medium
1034,Accessories,636,DecorNest,High
1035,Footwear,1236,DecorNest,High
1036,Fashion,743,DecorNest,Low
1037,Fashion,471,StepUp,High
1038,Beauty,914,Glowify,High
1039,Fashion,340,DecorNest,Low
1040,Footwear,2000,DecorNest,Low
1041,Footwear,700,Glowify,High
1042,Home,956,DecorNest,Low
1043,Footwear,783,Glowify,Medium
1044,Fashion,523,ShinyStuff,High
1045,Beauty,1097,Glowify,Low
1046,Home,1907,Glowify,Low
1047,Fashion,1312,StepUp,Low
1048,Beauty,1640,ShinyStuff,Low
1049,Fashion,819,StepUp,High
1050,Home,1452,DecorNest,Low
1051,Footwear,1852,Glowify,Low
1052,Home,1539,ShinyStuff,Low
1053,Footwear,1283,StepUp,Medium
1054,Home,216,Glowify,Medium
1055,Accessories,1567,FabTrend,High
1056,Fashion,1873,StepUp,High
1057,Fashion,1335,ShinyStuff,Medium
1058,Accessories,813,StepUp,Medium
1059,Footwear,1558,StepUp,Low
1060,Fashion,412,StepUp,Low
1061,Accessories,1998,DecorNest,Medium
1062,Fashion,475,FabTrend,High
1063,Beauty,741,ShinyStuff,Medium
1064,Footwear,436,ShinyStuff,High
1065,Beauty,419,ShinyStuff,Medium
1066,Footwear,1720,Glowify,Low
1067,Accessories,1333,ShinyStuff,High
1068,Footwear,518,ShinyStuff,Low
1069,Footwear,757,FabTrend,Medium
1070,Accessories,777,Glowify,High
1071,Footwear,1438,Glowify,High
1072,Fashion,631,StepUp,High
1073,Home,1669,DecorNest,Low
1074,Accessories,902,Glowify,Medium
1075,Home,616,Glowify,Low
1076,Accessories,1607,FabTrend,High
1077,Accessories,1498,ShinyStuff,Low
1078,Beauty,1946,Glowify,High
1079,Beauty,740,Glowify,Low
1080,Footwear,1235,DecorNest,Medium
1081,Home,1200,FabTrend,Low
1082,Accessories,714,DecorNest,Low
1083,Footwear,1932,Glowify,Low
1084,Fashion,304,Glowify,Low
1085,Accessories,389,FabTrend,Medium
1086,Fashion,1499,StepUp,High
1087,Footwear,1067,StepUp,High
1088,Beauty,1898,Glowify,High
1089,Footwear,766,Glowify,Medium
1090,Fashion,290,DecorNest,Medium
1091,Accessories,207,DecorNest,Low
1092,Home,883,DecorNest,Medium
1093,Footwear,1779,ShinyStuff,High
1094,Accessories,467,Glowify,Medium
1095,Beauty,1504,ShinyStuff,High
1096,Beauty,736,StepUp,Medium
1097,Beauty,530,Glowify,Medium
1098,Accessories,1718,Glowify,High
1099,Footwear,1104,FabTrend,High
1100,Accessories,1329,Glowify,Medium
1101,Accessories,1645,StepUp,Medium
1102,Home,1075,Glowify,Low
1103,Home,1348,ShinyStuff,High
1104,Footwear,219,Glowify,Low
1105,Home,429,ShinyStuff,Medium
1106,Beauty,354,DecorNest,High
1107,Home,1615,DecorNest,Medium
1108,Beauty,505,FabTrend,High
1109,Footwear,1317,Glowify,Medium
1110,Accessories,273,DecorNest,Low
1111,Accessories,1909,DecorNest,Low
1112,Home,956,FabTrend,Low
1113,Beauty,1392,FabTrend,High
1114,Fashion,1331,Glowify,High
1115,Fashion,503,ShinyStuff,High
1116,Fashion,1080,Glowify,Low
1117,Accessories,461,ShinyStuff,High
1118,Accessories,285,FabTrend,Medium
1119,Beauty,831,StepUp,High
1120,Home,946,Glowify,Low
1121,Fashion,1830,StepUp,Low
1122,Beauty,1962,ShinyStuff,Medium
1123,Beauty,281,Glowify,High
1124,Home,932,StepUp,High
1125,Beauty,630,StepUp,Medium
1126,Home,1596,Glowify,Medium
1127,Footwear,711,StepUp,Low
1128,Home,1565,Glowify,High
1129,Fashion,410,StepUp,Medium
1130,Fashion,924,FabTrend,High
1131,Home,1797,Glowify,Medium
1132,Footwear,1346,FabTrend,Low
1133,Footwear,1991,DecorNest,Medium
1134,Fashion,1032,FabTrend,Medium
1135,Footwear,1471,StepUp,Medium
1136,Beauty,1734,ShinyStuff,Medium
1137,Accessories,516,FabTrend,Medium
1138,Beauty,684,FabTrend,High
1139,Fashion,1970,FabTrend,Low
1140,Footwear,532,ShinyStuff,Low
1141,Home,1838,ShinyStuff,Medium
1142,Accessories,1860,FabTrend,Medium
1143,Home,562,DecorNest,High
1144,Fashion,1044,ShinyStuff,Medium
1145,Footwear,250,ShinyStuff,Medium
1146,Home,567,ShinyStuff,High
1147,Home,1708,Glowify,Medium
1148,Accessories,880,FabTrend,High
1149,Accessories,1802,DecorNest,Low
1150,Footwear,1043,ShinyStuff,Medium
1151,Accessories,1842,Glowify,Low
1152,Home,1571,StepUp,Medium
1153,Home,1969,StepUp,Medium
1154,Fashion,1705,ShinyStuff,Medium
1155,Home,1860,DecorNest,Low
1156,Footwear,708,DecorNest,Medium
1157,Beauty,746,FabTrend,High
1158,Fashion,526,ShinyStuff,Low
1159,Fashion,1812,StepUp,High
1160,Footwear,1636,FabTrend,High
1161,Footwear,421,DecorNest,Medium
1162,Accessories,983,FabTrend,Medium
1163,Fashion,1986,StepUp,Low
1164,Accessories,279,DecorNest,Low
1165,Home,1958,Glowify,High
1166,Fashion,1163,Glowify,Medium
1167,Fashion,655,ShinyStuff,High
1168,Beauty,608,FabTrend,Medium
1169,Fashion,1872,DecorNest,High
1170,Home,1142,ShinyStuff,Medium
1171,Accessories,916,FabTrend,Low
1172,Accessories,825,StepUp,Low
1173,Beauty,1880,DecorNest,Medium
1174,Home,1828,FabTrend,High
1175,Accessories,1984,DecorNest,Low
1176,Footwear,666,FabTrend,Medium
1177,Home,656,StepUp,Medium
1178,Home,248,DecorNest,High
1179,Beauty,1551,Glowify,Medium
1180,Accessories,595,StepUp,Low
1181,Home,1016,FabTrend,Low
1182,Accessories,872,DecorNest,High
1183,Footwear,770,StepUp,High
1184,Beauty,1970,FabTrend,Low
1185,Footwear,342,Glowify,High
1186,Beauty,1783,Glowify,Low
1187,Home,771,FabTrend,Medium
1188,Beauty,919,Glowify,High
1189,Fashion,1513,StepUp,Low
1190,Accessories,1243,Glowify,High
1191,Accessories,1018,ShinyStuff,Medium
1192,Fashion,1591,Glowify,Low
1193,Footwear,1927,ShinyStuff,Low
1194,Fashion,1298,DecorNest,Low
1195,Home,878,StepUp,Medium
1196,Home,256,DecorNest,Low
1197,Accessories,436,DecorNest,High
1198,Home,1996,Glowify,Low
1199,Accessories,734,Glowify,Medium
1200,Fashion,565,Glowify,High
1201,Fashion,1389,DecorNest,Medium
1202,Fashion,743,StepUp,High
1203,Accessories,278,StepUp,High
1204,Fashion,422,ShinyStuff,Medium
1205,Fashion,1421,FabTrend,Medium
1206,Footwear,1089,StepUp,Medium
1207,Fashion,907,Glowify,Medium
1208,Home,1692,ShinyStuff,Low
1209,Accessories,1810,Glowify,Medium
1210,Footwear,842,DecorNest,High
1211,Beauty,1093,DecorNest,Low
1212,Accessories,1441,Glowify,Medium
1213,Home,1247,StepUp,Low
1214,Accessories,436,FabTrend,High
1215,Home,988,Glowify,High
1216,Home,1380,StepUp,High
1217,Beauty,589,ShinyStuff,Low
1218,Accessories,721,Glowify,Low
1219,Beauty,290,ShinyStuff,Medium
1220,Beauty,1651,StepUp,Medium
1221,Accessories,1093,StepUp,Medium
1222,Fashion,203,StepUp,High
1223,Fashion,1264,StepUp,Medium
1224,Beauty,1851,DecorNest,Low
1225,Footwear,1302,StepUp,Medium
1226,Beauty,1606,DecorNest,High
1227,Beauty,1673,FabTrend,Medium
1228,Beauty,1719,DecorNest,High
1229,Fashion,1709,ShinyStuff,High
1230,Fashion,1573,FabTrend,High
1231,Fashion,603,ShinyStuff,Medium
1232,Beauty,945,Glowify,Low
1233,Footwear,1083,Glowify,Medium
1234,Fashion,343,DecorNest,High
1235,Accessories,1560,ShinyStuff,Medium
1236,Accessories,876,Glowify,Medium
1237,Accessories,1476,Glowify,Medium
1238,Home,842,Glowify,High
1239,Beauty,1558,FabTrend,High
1240,Accessories,1936,FabTrend,Medium
1241,Beauty,455,StepUp,Medium
1242,Accessories,1674,ShinyStuff,Medium
1243,Footwear,815,Glowify,Low
1244,Beauty,1238,ShinyStuff,High
1245,Accessories,833,StepUp,Low
1246,Fashion,1565,DecorNest,High
1247,Beauty,1036,StepUp,Medium
1248,Home,868,Glowify,Low
1249,Fashion,1024,DecorNest,Medium
1250,Fashion,1627,DecorNest,Low
1251,Home,805,StepUp,Medium
1252,Fashion,1335,Glowify,High
1253,Fashion,460,DecorNest,Medium
1254,Accessories,592,StepUp,High
1255,Accessories,1061,StepUp,Medium
1256,Beauty,1561,Glowify,Medium
1257,Beauty,976,StepUp,High
1258,Beauty,1587,StepUp,High
1259,Accessories,1732,StepUp,Low
1260,Beauty,556,ShinyStuff,Medium
1261,Fashion,1460,FabTrend,Low
