user_id,product_id,discount_offered,converted
103,1120,22,0
436,1055,14,0
861,1027,38,0
271,1118,30,0
107,1221,34,1
72,1231,13,0
701,1053,50,0
21,1295,35,0
615,1233,46,0
122,1158,8,0
467,1269,10,1
215,1021,18,0
331,1053,8,0
459,1275,30,1
88,1281,43,1
373,1214,21,0
100,1031,23,0
872,1183,10,0
664,1023,33,1
131,1032,15,1
662,1074,20,0
309,1010,34,0
770,1054,29,1
344,1052,44,0
492,1148,15,1
414,1160,11,0
806,1014,30,1
386,1178,26,1
192,1053,29,1
956,1022,23,0
277,1030,35,0
161,1191,30,0
460,1260,46,1
314,1205,45,1
22,1059,40,0
253,1264,27,0
748,1012,17,0
857,1119,29,1
561,1290,6,0
475,1248,6,0
59,1127,20,1
511,1075,13,0
682,1204,32,0
476,1049,17,1
700,1079,39,0
976,1241,45,0
783,1154,17,0
190,1274,35,1
958,1096,25,0
687,1214,36,0
958,1294,38,1
563,1209,12,0
876,1088,45,0
567,1264,6,0
244,1157,42,1
832,1156,36,0
505,1139,44,0
131,1121,32,0
485,1065,41,1
819,1107,45,0
647,1147,5,0
21,1137,45,1
841,1162,14,0
167,1100,8,0
274,1141,39,0
388,1083,14,0
601,1177,15,0
316,1198,18,0
14,1112,42,0
242,1056,16,0
777,1179,49,0
346,1186,21,0
565,1218,20,0
898,1217,39,0
340,1120,6,0
92,1175,15,1
367,1023,45,1
956,1213,7,0
455,1235,33,1
428,1013,22,1
509,1101,24,0
776,1024,18,0
943,1011,38,0
35,1273,35,0
206,1281,44,0
81,1094,46,1
932,1201,22,0
562,1021,34,0
872,1211,29,0
388,1140,23,0
2,1293,12,0
390,1298,32,1
566,1101,12,0
106,1028,35,1
772,1041,7,0
822,1146,7,0
477,1256,48,0
703,1227,26,0
402,1236,21,0
730,1013,40,0
556,1210,21,1
162,1229,18,0
202,1100,13,1
958,1031,34,0
996,1016,25,0
270,1137,16,0
863,1166,41,0
816,1100,36,0
271,1109,15,0
456,1173,24,0
462,1237,39,1
727,1162,50,1
252,1216,15,1
702,1264,12,0
296,1263,8,0
725,1292,31,0
720,1274,48,1
749,1003,44,1
338,1028,42,0
879,1149,34,0
53,1028,48,1
792,1065,31,0
922,1021,25,1
217,1252,24,0
764,1235,8,0
188,1227,15,0
380,1013,17,1
493,1049,13,0
41,1118,8,1
157,1054,16,0
15,1138,13,0
813,1053,17,0
65,1044,30,0
857,1053,42,1
839,1074,46,0
521,1046,17,1
344,1013,43,0
129,1165,32,1
648,1102,23,0
472,1280,28,0
63,1258,23,0
139,1138,17,1
499,1163,17,0
593,1111,32,0
392,1102,6,0
675,1017,14,0
419,1268,26,1
289,1182,17,0
379,1024,13,0
773,1029,37,0
490,1171,18,0
231,1228,24,1
41,1188,19,1
28,1230,36,1
135,1119,37,0
201,1156,21,0
840,1272,28,0
780,1175,34,0
930,1104,17,0
33,1092,20,1
48,1186,6,0
503,1283,21,1
407,1181,36,1
574,1170,47,0
728,1187,12,1
805,1175,7,0
99,1222,16,1
684,1233,24,1
872,1162,20,0
726,1134,18,0
987,1224,20,1
547,1153,47,0
961,1033,37,1
739,1055,34,0
613,1007,16,1
943,1244,19,1
462,1126,22,1
643,1012,32,1
769,1016,27,0
5,1208,18,1
218,1043,34,1
503,1135,37,0
767,1228,49,1
398,1111,19,0
871,1160,11,1
795,1264,19,1
393,1225,46,0
207,1217,50,0
15,1045,42,0
858,1214,50,1
554,1059,48,0
892,1132,15,0
461,1104,33,1
691,1195,35,0
575,1157,29,0
864,1098,28,1
743,1226,23,0
241,1205,6,0
564,1079,26,0
96,1124,24,0
900,1218,37,0
734,1004,12,1
485,1090,29,0
407,1104,50,0
231,1119,13,0
749,1133,38,0
655,1096,27,0
171,1143,9,1
541,1288,29,1
36,1028,12,0
525,1278,20,1
160,1233,49,1
839,1017,19,0
699,1059,5,0
243,1090,26,1
86,1199,7,0
796,1026,42,1
578,1025,18,0
682,1267,40,0
557,1181,22,1
574,1068,45,0
953,1049,22,0
646,1175,7,0
796,1052,14,0
28,1102,43,0
620,1216,5,1
556,1188,31,1
340,1057,31,1
798,1047,15,0
958,1159,9,0
331,1174,11,0
640,1242,23,1
506,1282,33,1
348,1241,19,0
473,1005,39,0
231,1084,41,1
190,1248,16,0
225,1054,34,1
385,1161,24,0
377,1226,41,1
283,1015,7,1
958,1224,13,0
633,1061,45,0
628,1122,43,0
973,1277,30,0
745,1046,6,0
259,1294,27,1
359,1062,27,1
710,1086,25,1
456,1210,20,0
411,1078,13,0
649,1202,17,0
318,1223,32,0
677,1222,31,0
225,1003,21,0
819,1006,42,1
234,1093,40,0
684,1008,5,0
664,1235,22,0
975,1108,13,1
827,1161,17,1
374,1209,44,0
672,1240,49,1
608,1050,19,0
472,1011,47,1
233,1156,48,0
692,1070,50,0
113,1169,8,0
830,1272,37,0
497,1068,28,0
442,1252,40,0
564,1048,45,1
268,1184,14,0
510,1187,40,0
807,1090,24,1
386,1139,45,1
387,1089,49,0
113,1274,48,1
613,1019,15,0
625,1154,16,1
952,1260,22,0
81,1108,34,0
699,1285,48,0
113,1059,41,1
2,1125,24,0
642,1273,29,1
220,1107,16,0
566,1299,25,1
855,1245,29,0
997,1247,15,0
736,1008,13,0
225,1141,29,0
385,1008,39,0
403,1094,36,0
638,1039,18,1
130,1081,5,1
53,1187,21,1
684,1084,29,0
730,1088,12,0
672,1242,9,0
710,1093,9,0
416,1086,45,1
247,1044,39,1
836,1137,23,1
439,1074,27,0
203,1036,13,1
184,1101,34,0
123,1156,20,1
401,1255,37,0
767,1171,6,0
294,1216,18,0
280,1170,50,1
837,1252,5,0
884,1055,30,0
610,1091,29,1
198,1278,20,1
982,1101,19,1
907,1155,30,1
511,1141,48,1
752,1173,20,0
144,1010,18,1
609,1228,33,0
201,1265,28,1
124,1248,19,0
187,1247,23,0
326,1155,12,0
464,1034,38,0
349,1129,6,0
771,1160,31,1
660,1089,14,0
764,1093,39,1
955,1241,27,1
932,1117,12,0
403,1094,32,0
346,1163,27,0
963,1099,8,0
511,1113,18,0
147,1091,46,0
148,1206,33,1
864,1017,5,1
711,1274,8,0
820,1173,36,0
489,1116,37,0
929,1181,30,0
936,1091,21,0
640,1082,43,1
551,1114,27,0
338,1257,36,1
872,1058,19,0
641,1154,17,0
779,1116,6,0
988,1266,23,0
953,1203,28,1
473,1041,49,1
946,1105,28,1
151,1193,15,0
415,1278,26,1
990,1237,19,0
298,1221,14,0
611,1068,45,1
263,1197,31,0
764,1256,13,0
144,1139,32,0
346,1149,5,0
624,1099,21,1
572,1076,35,1
881,1282,48,0
2,1109,14,0
897,1188,41,0
304,1199,33,1
254,1154,22,0
652,1040,42,0
453,1133,43,0
37,1132,10,0
160,1279,44,1
9,1084,16,0
233,1242,18,0
99,1116,48,0
659,1109,14,0
816,1221,24,0
208,1041,19,0
131,1147,35,1
404,1112,11,1
152,1103,45,1
54,1046,14,0
120,1271,14,0
673,1195,43,1
920,1280,32,0
628,1283,34,1
587,1040,41,0
625,1189,7,1
968,1164,47,0
420,1024,19,1
422,1024,25,0
104,1004,41,0
852,1290,16,0
254,1181,8,0
227,1248,13,0
112,1116,43,0
510,1279,46,0
473,1069,32,0
99,1254,27,1
153,1181,49,0
861,1169,44,0
914,1249,48,1
896,1188,26,0
878,1054,28,1
338,1138,30,1
706,1168,34,1
822,1103,37,0
163,1085,20,0
720,1212,26,0
957,1003,47,0
681,1179,22,1
996,1038,11,1
161,1239,30,1
580,1169,12,0
801,1030,10,0
398,1190,34,1
277,1025,43,0
816,1112,27,0
916,1206,36,1
504,1185,26,1
896,1047,46,0
392,1228,47,0
135,1039,49,0
195,1016,13,1
